PMID,Journal/Book,Publication_Year,DOI,Type,Subtype,Route,Sub-route,Size_Group,Charge_Group,Shape,Coating_Number,Total_Coating_Steps_Group,Targeting_Type,Bioconjugation_nature,PEG_Coat,Therapeutic_Molecule_Type,Dose_Group,IC50,Delivery_Efficiency_Values,Delivery_Efficiency,Distribution Half-life_(h),Tumor_model,Immune status,Cancer_type,Breast cancer subtype,No._Days_dosing_grouped,Tumor_Vol_Reduction_(%),Tumor_Vol_Reduction_Group(%),Off_target_1_accumulation_(%),Off_target_2_accumulation_(%),Off_target_3_accumulation_(%),Off_target_1_accumulation,Off_target_2_accumulation,Off_target_3_accumulation,Therapy_A,Therapy_B,Therapy_C,Combined_Therapy_Grouped,Study strategy,Imaging_A,Imaging_B,Imaging_C,Imaging_D
23246067,Biomaterials,2013,10.1016/j.biomaterials.2012.11.044,Inorganic,Hybrid,Systemic,IV,>200 nm,Not Reported,Sphere,Monolayer,Medium,Passive,None,PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Xenograft orthotopic,Immunocompromised,Liver,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Ultrasound,Chemotherapy,None,Combination therapy,Theragnosis,Ultrasound,None,None,None
23276658,Biomaterials,2013,10.1016/j.biomaterials.2012.12.003,Inorganic,Iron oxide,Systemic,Other,>200 nm,Not Reported,Sphere,Multilayer,Low,Passive,None,Non PEGylated,Anthracycline,Not Reported,No,Not Reported,No,Not Reported,Allograft heterotopic,Immunocompetent,Skin,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Ultrasound,Chemotherapy,None,Combination therapy,Theragnosis,MRI,Ultrasound,None,None
23289892,ACS Nano,2013,10.1021/nn3044066,Inorganic,Silica,Systemic,IV,10~100 nm,Not Reported,Sphere,Monolayer,Medium,Passive,None,PEGylated,Anthracycline,>50 mg/kg,No,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Breast,Luminal A,Multiple-dose,84.44444444,Medium,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Chemotherapy,Gene therapy,None,Combination therapy,Therapy,None,None,None,None
23343632,Biomaterials,2013,10.1016/j.biomaterials.2013.01.014,Inorganic,Hybrid,Systemic,IV,10~100 nm,Negative,Other,Multilayer,High,Active,Covalent,PEGylated,None,Not Reported,No,4.6,Yes,Not Reported,Xenograft heterotopic,Immunocompromised,Skin,Not Applicable,Single-dose,Not Reported,Not Reported,494.6,300.4,112.8,Liver,Spleen,Kidney,None,None,None,None,Diagnosis,MRI,PET,None,None
23360442,Nano Lett,2013,10.1021/nl304111v,Inorganic,Gold,Systemic,IV,10~100 nm,Not Reported,Other,Monolayer,Low,Passive,None,PEGylated,None,Not Reported,No,15.3,Yes,Not Reported,Allograft heterotopic,Immunocompromised,Breast,Nontypical mouse tumor,Single-dose,Not Reported,Not Reported,421.9,202.9,32.5,Liver,Spleen,Kidney,None,None,None,None,Diagnosis,Luminescence,None,None,None
23383982,ACS Nano,2013,10.1021/nn304332s,Inorganic,Gold,Systemic,IV,Not Reported,Not Reported,Other,Monolayer,Low,Passive,None,PEGylated,None,Not Reported,No,7.2,Yes,Not Reported,Xenograft heterotopic,Immunocompromised,Breast,Triple-negative,Single-dose,76.34409,Medium,499.4,464.7,52,Liver,Spleen,Lung,Photothermal therapy,None,None,Monotherapy,Theragnosis,Thermal,None,None,None
23404693,Adv Mater,2013,10.1002/adma.201204623,Inorganic,Gold,Local,Intratumoral,10~100 nm,Negative,Other,Multilayer,Low,Passive,None,PEGylated,Photosensitizer,Not Reported,No,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Breast,Triple-negative,Single-dose,92.98246,High,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Photodynamic therapy,Photothermal therapy,None,Combination therapy,Theragnosis,Fluorescence,Photoacoustic,Thermal,None
23419645,Biomaterials,2013,10.1016/j.biomaterials.2013.01.062,Inorganic,Iron oxide,Systemic,IV,100~200 nm,Negative,Sphere,Multilayer,Medium,Active,Covalent,Non PEGylated,Biologic,Not Reported,No,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Prostate,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Spleen,Liver,Not Reported,Chemotherapy,None,None,Monotherapy,Theragnosis,MRI,None,None,None
23465830,Biomaterials,2013,10.1016/j.biomaterials.2013.02.025,Inorganic,Iron oxide,Systemic,IV,10~100 nm,Neutral,Sphere,Multilayer,High,Active,Covalent,PEGylated,None,5~10 mg/kg,No,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Other,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,None,None,None,None,Diagnosis,MRI,Other,None,None
23465836,Biomaterials,2013,10.1016/j.biomaterials.2013.01.086,Inorganic,Iron oxide,Local,Intratumoral,0~10 nm,Not Reported,Sphere,Multilayer,Low,Passive,None,PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Other,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Photothermal therapy,None,None,Monotherapy,Therapy,None,None,None,None
23467400,Nanoscale,2013,10.1039/c3nr00170a,Inorganic,Hybrid,Systemic,IV,Not Reported,Not Reported,Sphere,Multilayer,Low,Passive,None,Non PEGylated,None,Not Reported,No,Not Reported,No,1,Xenograft heterotopic,Immunocompromised,Colon,Not Applicable,Single-dose,Not Reported,Not Reported,1462.6,779.5,153.4,Spleen,Liver,Lung,None,None,None,None,Diagnosis,MRI,None,None,None
23499668,Nanomedicine,2013,10.1016/j.nano.2013.02.010,Inorganic,Iron oxide,Systemic,IV,10~100 nm,Not Reported,Sphere,Multilayer,Medium,Active,Covalent,PEGylated,Anthracycline,Not Reported,Yes,Not Reported,No,Not Reported,Allograft heterotopic,Immunocompetent,Breast,Metastatic,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Chemotherapy,None,None,Monotherapy,Theragnosis,MRI,None,None,None
23519915,Angew Chem Int Ed Engl,2013,10.1002/anie.201207721,Inorganic,Iron oxide,Systemic,IV,100~200 nm,Not Reported,Sphere,No coating,None,Passive,None,Non PEGylated,Anthracycline,0~5 mg/kg,No,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Colon,Not Applicable,Multiple-dose,100,Very High,Not Reported,Not Reported,Not Reported,Liver,Kidney,Bladder,Magnetic hyperthermia,Chemotherapy,None,Combination therapy,Theragnosis,PET,None,None,None
23530622,ACS Nano,2013,10.1021/nn400223a,Inorganic,Gold,Systemic,IV,10~100 nm,Negative,Sphere,Monolayer,Medium,Passive,None,Non PEGylated,Anthracycline,Not Reported,No,10.9,Yes,Not Reported,Allograft orthotopic,Immunocompromised,Skin,Not Applicable,Multiple-dose,95.5582,High,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Photothermal therapy,Chemotherapy,None,Combination therapy,Therapy,None,None,None,None
23542239,J Control Release,2013,10.1016/j.jconrel.2013.03.016,Inorganic,Iron oxide,Systemic,IV,10~100 nm,Not Reported,Sphere,Multilayer,Low,Passive,None,PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Allograft heterotopic,Immunocompromised,Colon,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,None,None,None,None,Diagnosis,MRI,Fluorescence,None,None
23552843,Nanoscale,2013,10.1039/c3nr00294b,Inorganic,Silica,Systemic,IV,100~200 nm,Positive,Sphere,Monolayer,Low,Passive,None,Non PEGylated,None,10~50 mg/kg,No,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Cervix,Not Applicable,Multiple-dose,59.70695971,Low,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Gene therapy,None,None,Monotherapy,Therapy,None,None,None,None
23557859,Biomaterials,2013,10.1016/j.biomaterials.2013.03.027,Inorganic,Gold,Local,Intratumoral,>200 nm,Positive,Sphere,Monolayer,Low,Passive,None,Non PEGylated,None,10~50 mg/kg,No,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Other,Not Applicable,Single-dose,83.8,Medium,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Photothermal therapy,None,None,Monotherapy,Theragnosis,Ultrasound,CT,None,None
23557860,Biomaterials,2013,10.1016/j.biomaterials.2013.03.023,Inorganic,Hybrid,Local,Intratumoral,>200 nm,Neutral,Other,Multilayer,High,Active,Covalent,PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Allograft heterotopic,Immunocompetent,Breast,Metastatic,Single-dose,100,Very High,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Photothermal therapy,None,None,Monotherapy,Theragnosis,MRI,Other,None,None
23562635,J Control Release,2013,10.1016/j.jconrel.2013.03.029,Inorganic,Iron oxide,Systemic,IV,>200 nm,Negative,Sphere,Multilayer,Medium,Active,Covalent,PEGylated,Anthracycline,Not Reported,Yes,Not Reported,No,Not Reported,Allograft heterotopic,Immunocompetent,Prostate,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Magnetic hyperthermia,Chemotherapy,None,Combination therapy,Theragnosis,MRI,None,None,None
23574400,J Am Chem Soc,2013,10.1021/ja312225b,Inorganic,Silica,Local,Intratumoral,10~100 nm,Not Reported,Sphere,Multilayer,Medium,Passive,None,Non PEGylated,Alkylating agent,>50 mg/kg,No,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Cervix,Not Applicable,Single-dose,67.68953069,Low,Not Reported,Not Reported,Not Reported,Lung,Liver,Kidney,Chemotherapy,Other,None,Combination therapy,Theragnosis,MRI,Luminescence,None,None
23583039,Biomaterials,2013,10.1016/j.biomaterials.2013.03.009,Inorganic,Gold,Systemic,IV,0~10 nm,Not Reported,Sphere,Multilayer,Very High,Active,Covalent,PEGylated,None,Not Reported,Yes,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Cervix,Not Applicable,Single-dose,Not Reported,Not Reported,4064.7,3760.3,732.2,Spleen,Liver,Lung,None,None,None,None,Diagnosis,MRI,CT,None,None
23591395,Biomaterials,2013,10.1016/j.biomaterials.2013.03.061,Inorganic,Iron oxide,Systemic,Other,>200 nm,Not Reported,Sphere,Multilayer,Medium,Active,Covalent,PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Lung,Not Applicable,Single-dose,20.25316456,Low,16.2894623,Not Reported,Not Reported,Liver,Stomach,Spleen,Magnetic hyperthermia,None,None,Monotherapy,Theragnosis,Luminescence,None,None,None
23611451,Biomaterials,2013,10.1016/j.biomaterials.2013.03.078,Inorganic,Iron oxide,Local,Intratumoral,>200 nm,Negative,Other,No coating,None,Passive,None,Non PEGylated,None,0~5 mg/kg,No,Not Reported,No,Not Reported,Xenograft orthotopic,Immunocompromised,Breast,Not Reported,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,None,None,None,None,Diagnosis,MRI,None,None,None
23639532,Biomaterials,2013,10.1016/j.biomaterials.2013.04.020,Inorganic,Silica,Systemic,IV,10~100 nm,Positive,Sphere,Monolayer,High,Passive,None,Non PEGylated,None,0~5 mg/kg,No,Not Reported,No,Not Reported,Allograft heterotopic,Immunocompromised,Lung,Not Applicable,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Liver,Kidney,Lung,None,None,None,None,Diagnosis,Other,MRI,None,None
23642536,Biomaterials,2013,10.1016/j.biomaterials.2013.04.021,Inorganic,Iron oxide,Systemic,IV,Not Reported,Not Reported,Sphere,Multilayer,High,Active,Covalent,PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Other,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,None,None,None,None,Diagnosis,MRI,None,None,None
23643529,Nanomedicine,2013,10.1016/j.nano.2013.04.007,Inorganic,Gold,Local,Other,10~100 nm,Not Reported,Sphere,No coating,None,Passive,None,Non PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Allograft orthotopic,Immunocompetent,Brain,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Radiotherapy,None,None,Monotherapy,Theragnosis,CT,None,None,None
23687972,J Am Chem Soc,2013,10.1021/ja4013497,Inorganic,Iron oxide,Local,Intratumoral,0~10 nm,Not Reported,Sphere,Multilayer,Medium,Passive,None,Non PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Not Reported,Not Reported,Not Reported,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Photothermal therapy,None,None,Monotherapy,Theragnosis,MRI,Other,None,None
23758591,ACS Nano,2013,10.1021/nn4018922,Inorganic,Iron oxide,Systemic,IV,10~100 nm,Negative,Sphere,Multilayer,High,Active,Covalent,PEGylated,None,0~5 mg/kg,No,Not Reported,No,Not Reported,Xenograft orthotopic,Immunocompromised,Breast,Luminal A,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Liver,Kidney,Not Reported,Other,None,None,None,Theragnosis,Fluorescence,None,None,None
23777913,Biomaterials,2013,10.1016/j.biomaterials.2013.05.059,Inorganic,Gold,Systemic,IV,100~200 nm,Neutral,Sphere,Multilayer,Low,Passive,None,PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Allograft heterotopic,Immunocompetent,Liver,Not Applicable,Single-dose,Not Reported,Not Reported,1850.6,531.5,487.5,Spleen,Liver,Lung,Photothermal therapy,None,None,Monotherapy,Theragnosis,Other,None,None,None
23799860,ACS Nano,2013,10.1021/nn402201w,Inorganic,Gold,Systemic,IV,10~100 nm,Neutral,Sphere,Multilayer,Low,Passive,None,Non PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Cervix,Not Applicable,Single-dose,47.74576,Low,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Photothermal therapy,None,None,Monotherapy,Therapy,None,None,None,None
23810081,Biomaterials,2013,10.1016/j.biomaterials.2013.06.001,Inorganic,Silica,Local,Intratumoral,Not Reported,Not Reported,Sphere,Multilayer,Medium,Active,Covalent,PEGylated,Photosensitizer,0~5 mg/kg,No,Not Reported,No,Not Reported,Allograft orthotopic,Immunocompromised,Skin,Not Applicable,Multiple-dose,74.74747475,Low,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Photodynamic therapy,None,None,Monotherapy,Therapy,None,None,None,None
23822176,ACS Nano,2013,10.1021/nn4017179,Inorganic,Iron oxide,Local,Intratumoral,100~200 nm,Not Reported,Sphere,Multilayer,Medium,Passive,None,PEGylated,Anthracycline,Not Reported,No,Not Reported,No,Not Reported,Allograft heterotopic,Immunocompetent,Breast,Metastatic,Single-dose,95.67636596,High,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Photothermal therapy,Chemotherapy,None,Combination therapy,Theragnosis,MRI,None,None,None
23843254,Small,2013,10.1002/smll.201301093,Inorganic,Silica,Systemic,IV,10~100 nm,Not Reported,Sphere,Multilayer,Medium,Passive,None,PEGylated,Anthracycline,10~50 mg/kg,No,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Liver,Not Applicable,Multiple-dose,63.24461343,Low,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Chemotherapy,None,None,Monotherapy,Theragnosis,MRI,Luminescence,None,None
23850099,Biomaterials,2013,10.1016/j.biomaterials.2013.06.041,Inorganic,Gold,Local,Other,100~200 nm,Negative,Sphere,Multilayer,Medium,Active,Covalent,PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Allograft orthotopic,Immunocompetent,Lung,Not Applicable,Single-dose,85,Medium,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Gene therapy,None,None,Monotherapy,Theragnosis,Luminescence,None,None,None
23851463,Nanoscale,2013,10.1039/c3nr02563b,Inorganic,Silica,Systemic,IV,10~100 nm,Not Reported,Sphere,Monolayer,Low,Passive,None,PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Allograft heterotopic,Immunocompromised,Other,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,None,None,None,None,Diagnosis,Fluorescence,None,None,None
23871538,Biomaterials,2013,10.1016/j.biomaterials.2013.07.007,Inorganic,Iron oxide,Local,Intratumoral,10~100 nm,Not Reported,Sphere,Multilayer,Low,Passive,None,PEGylated,None,5~10 mg/kg,No,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Cervix,Not Applicable,Single-dose,100,Very High,Not Reported,Not Reported,Not Reported,Liver,Kidney,Not Reported,Photothermal therapy,None,None,Monotherapy,Theragnosis,MRI,Fluorescence,None,None
23873020,Nanoscale,2013,10.1039/c3nr01447a,Inorganic,Iron oxide,Systemic,IV,>200 nm,Negative,Sphere,Multilayer,Medium,Passive,None,PEGylated,None,10~50 mg/kg,No,Not Reported,No,Not Reported,Allograft heterotopic,Immunocompetent,Brain,Not Applicable,Single-dose,100,Very High,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Photothermal therapy,None,None,Monotherapy,Theragnosis,MRI,None,None,None
23873826,Small,2013,10.1002/smll.201301111,Inorganic,Silica,Local,Other,10~100 nm,Neutral,Other,No coating,None,Passive,None,Non PEGylated,Anthracycline,Not Reported,Yes,Not Reported,No,Not Reported,Xenograft orthotopic,Immunocompromised,Brain,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Chemotherapy,None,None,Monotherapy,Therapy,None,None,None,None
23876757,Biomaterials,2013,10.1016/j.biomaterials.2013.07.012,Inorganic,Iron oxide,Systemic,IV,Not Reported,Neutral,Sphere,Multilayer,Medium,Active,Covalent,PEGylated,Antimetabolite,Not Reported,No,42.17,Yes,Not Reported,Allograft heterotopic,Immunocompetent,Other,Not Applicable,Multiple-dose,100,Very High,26.91486839,3.153900877,Not Reported,Spleen,Brain,Not Reported,Magnetic hyperthermia,Chemotherapy,None,Combination therapy,Therapy,None,None,None,None
23891514,Biomaterials,2013,10.1016/j.biomaterials.2013.07.027,Inorganic,Silica,Local,Intratumoral,10~100 nm,Not Reported,Sphere,No coating,None,Passive,None,Non PEGylated,Photosensitizer,5~10 mg/kg,No,Not Reported,No,Not Reported,Allograft heterotopic,Immunocompetent,Other,Not Applicable,Single-dose,100,Very High,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Photothermal therapy,Photodynamic therapy,None,Combination therapy,Therapy,None,None,None,None
23891990,Nanomedicine,2014,10.1016/j.nano.2013.07.003,Inorganic,Iron oxide,Local,Intratumoral,10~100 nm,Neutral,Sphere,Multilayer,Low,Passive,None,PEGylated,Alkylating agent,Not Reported,No,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Brain,Not Applicable,Multiple-dose,69.83360172,Low,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Chemotherapy,None,None,Monotherapy,Theragnosis,MRI,None,None,None
23903002,Nat Commun,2013,10.1038/ncomms3266,Inorganic,Iron oxide,Systemic,IV,10~100 nm,Not Reported,Other,Monolayer,Low,Passive,None,Non PEGylated,None,0~5 mg/kg,No,Not Reported,No,Not Reported,Xenograft orthotopic,Immunocompromised,Liver,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,None,None,None,None,Diagnosis,MRI,None,None,None
23920038,J Control Release,2013,10.1016/j.jconrel.2013.07.020,Inorganic,Gold,Systemic,IV,10~100 nm,Not Reported,Sphere,Monolayer,Low,Passive,None,PEGylated,Anthracycline,Not Reported,No,Not Reported,No,Not Reported,Allograft heterotopic,Immunocompromised,Breast,Metastatic,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Photothermal therapy,Chemotherapy,None,Combination therapy,Theragnosis,Fluorescence,Photoacoustic,None,None
23924214,J Am Chem Soc,2013,10.1021/ja404985w,Inorganic,Silica,Local,Intratumoral,10~100 nm,Positive,Sphere,Multilayer,Medium,Passive,None,PEGylated,None,10~50 mg/kg,No,Not Reported,No,Not Reported,Allograft heterotopic,Immunocompetent,Breast,Metastatic,Single-dose,100,Very High,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Photothermal therapy,Other,None,Combination therapy,Theragnosis,CT,MRI,Luminescence,None
23932250,Biomaterials,2013,10.1016/j.biomaterials.2013.07.070,Inorganic,Iron oxide,Systemic,IV,>200 nm,Positive,Sphere,Multilayer,Medium,Active,Covalent,PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Skin,Not Applicable,Single-dose,Not Reported,Not Reported,1188.679245,283.0188679,207.5471698,Spleen,Liver,Heart,None,None,None,None,Diagnosis,MRI,None,None,None
23932289,Biomaterials,2013,10.1016/j.biomaterials.2013.07.084,Inorganic,Gold,Systemic,Other,10~100 nm,Negative,Sphere,Multilayer,Low,Passive,None,PEGylated,Anthracycline,0~5 mg/kg,No,Not Reported,No,Not Reported,Allograft heterotopic,Immunocompromised,Other,Not Applicable,Multiple-dose,97.57473,High,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Chemotherapy,None,None,Monotherapy,Theragnosis,Fluorescence,None,None,None
23932498,Biomaterials,2013,10.1016/j.biomaterials.2013.07.075,Inorganic,Silica,Systemic,IV,100~200 nm,Negative,Sphere,Multilayer,High,Active,Covalent,PEGylated,Anthracycline-Taxane-Antibody,10~50 mg/kg,No,Not Reported,No,Not Reported,Xenograft orthotopic,Immunocompromised,Brain,Not Applicable,Multiple-dose,98.86363636,Very High,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Chemotherapy,None,None,Monotherapy,Therapy,None,None,None,None
23933522,J Control Release,2013,10.1016/j.jconrel.2013.07.029,Inorganic,Iron oxide,Systemic,IV,100~200 nm,Negative,Sphere,Multilayer,Low,Passive,None,PEGylated,Alkylating agent,Not Reported,No,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Brain,Not Applicable,Single-dose,87.24686276,Medium,93.30702096,78.34232031,5.508922119,Spleen,Liver,Lung,Ultrasound,Chemotherapy,None,Combination therapy,Theragnosis,MRI,Ultrasound,None,None
23969526,Nanoscale,2013,10.1039/c3nr02787b,Inorganic,Silica,Local,Intratumoral,>200 nm,Negative,Sphere,Monolayer,Low,Passive,None,Non PEGylated,Enzyme,0~5 mg/kg,No,Not Reported,No,Not Reported,Xenograft orthotopic,Immunocompromised,Skin,Not Applicable,Multiple-dose,96.76044331,High,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Chemotherapy,None,None,Monotherapy,Therapy,None,None,None,None
23973173,Biomaterials,2013,10.1016/j.biomaterials.2013.08.009,Inorganic,Silica,Systemic,IV,10~100 nm,Not Reported,Sphere,Monolayer,Low,Passive,None,PEGylated,None,0~5 mg/kg,No,Not Reported,No,Not Reported,Xenograft orthotopic,Immunocompromised,Liver,Not Applicable,Single-dose,Not Reported,Not Reported,9.8,5.8,2.5,Spleen,Liver,Kidney,None,None,None,None,Diagnosis,MRI,None,None,None
24008045,Biomaterials,2013,10.1016/j.biomaterials.2013.08.041,Inorganic,Iron oxide,Systemic,IV,10~100 nm,Not Reported,Sphere,Multilayer,Medium,Passive,None,PEGylated,Photosensitizer,10~50 mg/kg,No,12.7,Yes,1,Allograft heterotopic,Immunocompetent,Breast,Metastatic,Single-dose,85.08785034,Medium,193.2283465,79.22834646,12.99212598,Liver,Spleen,Lung,Photodynamic therapy,None,None,Monotherapy,Theragnosis,MRI,Fluorescence,None,None
24034498,Biomaterials,2013,10.1016/j.biomaterials.2013.08.049,Inorganic,Iron oxide,Systemic,IV,100~200 nm,Negative,Sphere,Multilayer,High,Passive,None,PEGylated,None,5~10 mg/kg,No,Not Reported,No,Not Reported,Allograft heterotopic,Immunocompetent,Skin,Not Applicable,Single-dose,85.0877193,Medium,626.3157895,463.1578947,Not Reported,Spleen,Liver,Not Reported,Photodynamic therapy,None,None,Monotherapy,Theragnosis,MRI,None,None,None
24038954,Small,2014,10.1002/smll.201301456,Inorganic,Iron oxide,Systemic,IV,10~100 nm,Positive,Sphere,Multilayer,Medium,Active,Covalent,PEGylated,Alkaloid,Not Reported,No,Not Reported,No,Not Reported,Allograft orthotopic,Immunocompetent,Breast,Nontypical mouse tumor,Single-dose,Not Reported,Not Reported,126.2560778,97.39059968,7.131280389,Liver,Spleen,Kidney,Chemotherapy,None,None,Monotherapy,Theragnosis,MRI,None,None,None
24055524,Biomaterials,2013,10.1016/j.biomaterials.2013.09.008,Inorganic,Gold,Systemic,IV,100~200 nm,Negative,Sphere,Multilayer,Medium,Passive,None,PEGylated,Taxane,10~50 mg/kg,Yes,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Liver,Not Applicable,Multiple-dose,75.14793,Medium,1397.92,Not Reported,Not Reported,Liver,Not Reported,Not Reported,Chemotherapy,None,None,Monotherapy,Therapy,None,None,None,None
24057072,Nanoscale,2013,10.1039/c3nr03490a,Inorganic,Silica,Systemic,IV,10~100 nm,Not Reported,Sphere,Multilayer,High,Active,Covalent,PEGylated,None,10~50 mg/kg,No,6.2,Yes,Not Reported,Xenograft heterotopic,Immunocompromised,Cervix,Not Applicable,Not Reported,Not Reported,Not Reported,2.9,1.1,0.3,Spleen,Liver,Kidney,None,None,None,None,Diagnosis,MRI,None,None,None
24080913,Nanoscale,2013,10.1039/c3nr03669c,Inorganic,Iron oxide,Local,Intratumoral,10~100 nm,Not Reported,Sphere,Multilayer,Low,Passive,None,Non PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Skin,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,None,None,None,None,Diagnosis,Ultrasound,Other,None,None
24083623,ACS Nano,2013,10.1021/nn403617j,Inorganic,Silica,Systemic,IV,100~200 nm,Neutral,Sphere,Multilayer,High,Active,Covalent,PEGylated,Anthracycline,10~50 mg/kg,No,5.7,Yes,Not Reported,Allograft heterotopic,Immunocompromised,Breast,Metastatic,Not Reported,Not Reported,Not Reported,18.3,9.4,7.2,Liver,Intestine,Kidney,Chemotherapy,None,None,Monotherapy,Theragnosis,PET,CT,None,None
24120046,Biomaterials,2014,10.1016/j.biomaterials.2013.09.079,Inorganic,Iron oxide,Systemic,IV,Not Reported,Negative,Other,Multilayer,Low,Passive,None,Non PEGylated,None,5~10 mg/kg,No,Not Reported,No,Not Reported,Allograft orthotopic,Immunocompetent,Colon,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,None,None,None,None,Diagnosis,MRI,None,None,None
